C000   4C   F5   C5    JMP    A:00    X:00    Y:00    P:24    SP:FD       BaseAddr:C5F5    IndirAddr:0000    Absolute
CD02   00   C9   85    CMP    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD04   00   D0   24    BNE    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD06   00   E0   85    CPX    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD08   00   D0   20    BNE    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD0A   00   C0   99    CPY    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD0C   00   D0   1C    BNE    A:85    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD0E   00   A9   00    LDA    A:00    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD10   00   38   B8    SEC    A:00    X:85    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD11   00   B8   AA    CLV    A:00    X:85    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD12   00   AA   D0    TAX    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD13   00   D0   15    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD15   00   90   13    BCC    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD17   00   70   11    BVS    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD19   00   30   0F    BMI    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD1B   00   C9   00    CMP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD1D   00   D0   0B    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD1F   00   E0   00    CPX    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD21   00   D0   07    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD23   00   C0   99    CPY    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD25   00   D0   03    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD27   4C   2E   CD    JMP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:CD2E    IndirAddr:0000    Absolute
CD2E   00   EA   A9    NOP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD2F   00   A9   85    LDA    A:85    X:00    Y:99    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD31   00   A2   34    LDX    A:85    X:34    Y:99    P:25    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD33   00   A0   99    LDY    A:85    X:34    Y:99    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD35   00   18   24    CLC    A:85    X:34    Y:99    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD36   24   01   FF    BIT    A:85    X:34    Y:99    P:E4    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
CD38   00   98   F0    TYA    A:99    X:34    Y:99    P:E4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD39   00   F0   2E    BEQ    A:99    X:34    Y:99    P:E4    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD3B   00   B0   2C    BCS    A:99    X:34    Y:99    P:E4    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD3D   00   50   2A    BVC    A:99    X:34    Y:99    P:E4    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD3F   00   10   28    BPL    A:99    X:34    Y:99    P:E4    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD41   00   C9   99    CMP    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD43   00   D0   24    BNE    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD45   00   E0   34    CPX    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD47   00   D0   20    BNE    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD49   00   C0   99    CPY    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD4B   00   D0   1C    BNE    A:99    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD4D   00   A0   00    LDY    A:99    X:34    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD4F   00   38   B8    SEC    A:99    X:34    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD50   00   B8   98    CLV    A:99    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD51   00   98   D0    TYA    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD52   00   D0   15    BNE    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD54   00   90   13    BCC    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD56   00   70   11    BVS    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD58   00   30   0F    BMI    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD5A   00   C9   00    CMP    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD5C   00   D0   0B    BNE    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD5E   00   E0   34    CPX    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD60   00   D0   07    BNE    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD62   00   C0   00    CPY    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD64   00   D0   03    BNE    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD66   4C   6D   CD    JMP    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:CD6D    IndirAddr:0000    Absolute
CD6D   00   EA   A9    NOP    A:00    X:34    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD6E   00   A9   85    LDA    A:85    X:34    Y:00    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD70   00   A2   34    LDX    A:85    X:34    Y:00    P:25    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD72   00   A0   99    LDY    A:85    X:34    Y:99    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD74   00   18   24    CLC    A:85    X:34    Y:99    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD75   24   01   FF    BIT    A:85    X:34    Y:99    P:E4    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
CD77   00   8A   F0    TXA    A:34    X:34    Y:99    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD78   00   F0   2E    BEQ    A:34    X:34    Y:99    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD7A   00   B0   2C    BCS    A:34    X:34    Y:99    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD7C   00   50   2A    BVC    A:34    X:34    Y:99    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD7E   00   30   28    BMI    A:34    X:34    Y:99    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD80   00   C9   34    CMP    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD82   00   D0   24    BNE    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD84   00   E0   34    CPX    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD86   00   D0   20    BNE    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD88   00   C0   99    CPY    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD8A   00   D0   1C    BNE    A:34    X:34    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD8C   00   A2   00    LDX    A:34    X:00    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD8E   00   38   B8    SEC    A:34    X:00    Y:99    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD8F   00   B8   8A    CLV    A:34    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD90   00   8A   D0    TXA    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CD91   00   D0   15    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD93   00   90   13    BCC    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD95   00   70   11    BVS    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD97   00   30   0F    BMI    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD99   00   C9   00    CMP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD9B   00   D0   0B    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CD9D   00   E0   00    CPX    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CD9F   00   D0   07    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CDA1   00   C0   99    CPY    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CDA3   00   D0   03    BNE    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
CDA5   4C   AC   CD    JMP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:CDAC    IndirAddr:0000    Absolute
CDAC   00   EA   BA    NOP    A:00    X:00    Y:99    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CDAD   00   BA   8E    TSX    A:00    X:FB    Y:99    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CDAE   8E   FF   07    STX    A:00    X:FB    Y:99    P:A5    SP:FB       BaseAddr:07FF    IndirAddr:0000    Absolute
CDB1   00   A0   33    LDY    A:00    X:FB    Y:33    P:25    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CDB3   00   A2   69    LDX    A:00    X:69    Y:33    P:25    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CDB5   00   A9   84    LDA    A:84    X:69    Y:33    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CDB7   00   18   24    CLC    A:84    X:69    Y:33    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CDB8   24   01   FF    BIT    A:84    X:69    Y:33    P:E4    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
CDBA   00   9A   F0    TXS    A:84    X:69    Y:33    P:E4    SP:69       BaseAddr:0000    IndirAddr:0000    Implied
CDBB   00   F0   32    BEQ    A:84    X:69    Y:33    P:E4    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDBD   00   10   30    BPL    A:84    X:69    Y:33    P:E4    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDBF   00   B0   2E    BCS    A:84    X:69    Y:33    P:E4    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDC1   00   50   2C    BVC    A:84    X:69    Y:33    P:E4    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDC3   00   C9   84    CMP    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDC5   00   D0   28    BNE    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDC7   00   E0   69    CPX    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDC9   00   D0   24    BNE    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDCB   00   C0   33    CPY    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDCD   00   D0   20    BNE    A:84    X:69    Y:33    P:67    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDCF   00   A0   01    LDY    A:84    X:69    Y:01    P:65    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDD1   00   A9   04    LDA    A:04    X:69    Y:01    P:65    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDD3   00   38   B8    SEC    A:04    X:69    Y:01    P:65    SP:69       BaseAddr:0000    IndirAddr:0000    Implied
CDD4   00   B8   A2    CLV    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Implied
CDD5   00   A2   00    LDX    A:04    X:00    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDD7   00   BA   F0    TSX    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Implied
CDD8   00   F0   15    BEQ    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDDA   00   30   13    BMI    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDDC   00   90   11    BCC    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDDE   00   70   0F    BVS    A:04    X:69    Y:01    P:25    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDE0   00   E0   69    CPX    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDE2   00   D0   0B    BNE    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDE4   00   C9   04    CMP    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDE6   00   D0   07    BNE    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDE8   00   C0   01    CPY    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Immediate
CDEA   00   D0   03    BNE    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:0000    IndirAddr:0000    Relative
CDEC   4C   F3   CD    JMP    A:04    X:69    Y:01    P:27    SP:69       BaseAddr:CDF3    IndirAddr:0000    Absolute
CDF3   FF   07   FB    LDX    A:04    X:FB    Y:01    P:A5    SP:69       BaseAddr:07FF    IndirAddr:0000    Absolute
CDF6   00   9A   60    TXS    A:04    X:FB    Y:01    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CDF7   08   C6   20    RTS    A:04    X:FB    Y:01    P:A5    SP:FD       BaseAddr:0000    IndirAddr:0000    Implied
C609   F8   C6   CD    JSR    A:04    X:FB    Y:01    P:A5    SP:FB       BaseAddr:CDF8    IndirAddr:0000    Absolute
CDF8   00   A9   FF    LDA    A:FF    X:FB    Y:01    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CDFA   00   85   01    STA    A:FF    X:FB    Y:01    P:A5    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
CDFC   00   BA   8E    TSX    A:FF    X:FB    Y:01    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CDFD   8E   FF   07    STX    A:FF    X:FB    Y:01    P:A5    SP:FB       BaseAddr:07FF    IndirAddr:0000    Absolute
CE00   00   EA   A2    NOP    A:FF    X:FB    Y:01    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
CE01   00   A2   80    LDX    A:FF    X:80    Y:01    P:A5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
CE03   00   9A   A9    TXS    A:FF    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE04   00   A9   33    LDA    A:33    X:80    Y:01    P:25    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE06   00   48   A9    PHA    A:33    X:80    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CE07   00   A9   69    LDA    A:69    X:80    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Immediate
CE09   00   48   BA    PHA    A:69    X:80    Y:01    P:25    SP:7E       BaseAddr:0000    IndirAddr:0000    Implied
CE0A   00   BA   E0    TSX    A:69    X:7E    Y:01    P:25    SP:7E       BaseAddr:0000    IndirAddr:0000    Implied
CE0B   00   E0   7E    CPX    A:69    X:7E    Y:01    P:27    SP:7E       BaseAddr:0000    IndirAddr:0000    Immediate
CE0D   00   D0   20    BNE    A:69    X:7E    Y:01    P:27    SP:7E       BaseAddr:0000    IndirAddr:0000    Relative
CE0F   C9   00   69    PLA    A:69    X:7E    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CE10   00   C9   69    CMP    A:69    X:7E    Y:01    P:27    SP:7F       BaseAddr:0000    IndirAddr:0000    Immediate
CE12   00   D0   1B    BNE    A:69    X:7E    Y:01    P:27    SP:7F       BaseAddr:0000    IndirAddr:0000    Relative
CE14   C9   69   33    PLA    A:33    X:7E    Y:01    P:25    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE15   00   C9   33    CMP    A:33    X:7E    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE17   00   D0   16    BNE    A:33    X:7E    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE19   00   BA   E0    TSX    A:33    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE1A   00   E0   80    CPX    A:33    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE1C   00   D0   11    BNE    A:33    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE1E   80   01   33    LDA    A:33    X:80    Y:01    P:25    SP:80       BaseAddr:0180    IndirAddr:0000    Absolute
CE21   00   C9   33    CMP    A:33    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE23   00   D0   0A    BNE    A:33    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE25   7F   01   69    LDA    A:69    X:80    Y:01    P:25    SP:80       BaseAddr:017F    IndirAddr:0000    Absolute
CE28   00   C9   69    CMP    A:69    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE2A   00   D0   03    BNE    A:69    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE2C   4C   33   CE    JMP    A:69    X:80    Y:01    P:27    SP:80       BaseAddr:CE33    IndirAddr:0000    Absolute
CE33   00   EA   A2    NOP    A:69    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE34   00   A2   80    LDX    A:69    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE36   00   9A   20    TXS    A:69    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE37   3D   33   CE    JSR    A:69    X:80    Y:01    P:A5    SP:7E       BaseAddr:CE3D    IndirAddr:0000    Absolute
CE3D   00   BA   E0    TSX    A:69    X:7E    Y:01    P:25    SP:7E       BaseAddr:0000    IndirAddr:0000    Implied
CE3E   00   E0   7E    CPX    A:69    X:7E    Y:01    P:27    SP:7E       BaseAddr:0000    IndirAddr:0000    Immediate
CE40   00   D0   19    BNE    A:69    X:7E    Y:01    P:27    SP:7E       BaseAddr:0000    IndirAddr:0000    Relative
CE42   68   00   39    PLA    A:39    X:7E    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CE43   BA   39   CE    PLA    A:CE    X:7E    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE44   00   BA   E0    TSX    A:CE    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE45   00   E0   80    CPX    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE47   00   D0   12    BNE    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE49   00   A9   00    LDA    A:00    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE4B   4E   CE   CE    JSR    A:00    X:80    Y:01    P:27    SP:7E       BaseAddr:CE4E    IndirAddr:0000    Absolute
CE4E   C9   00   4D    PLA    A:4D    X:80    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CE4F   00   C9   4D    CMP    A:4D    X:80    Y:01    P:27    SP:7F       BaseAddr:0000    IndirAddr:0000    Immediate
CE51   00   D0   08    BNE    A:4D    X:80    Y:01    P:27    SP:7F       BaseAddr:0000    IndirAddr:0000    Relative
CE53   C9   4D   CE    PLA    A:CE    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE54   00   C9   CE    CMP    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE56   00   D0   03    BNE    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE58   4C   5F   CE    JMP    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:CE5F    IndirAddr:0000    Absolute
CE5F   00   EA   A9    NOP    A:CE    X:80    Y:01    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE60   00   A9   CE    LDA    A:CE    X:80    Y:01    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE62   00   48   A9    PHA    A:CE    X:80    Y:01    P:A5    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CE63   00   A9   66    LDA    A:66    X:80    Y:01    P:25    SP:7F       BaseAddr:0000    IndirAddr:0000    Immediate
CE65   00   48   60    PHA    A:66    X:80    Y:01    P:25    SP:7E       BaseAddr:0000    IndirAddr:0000    Implied
CE66   66   CE   A2    RTS    A:66    X:80    Y:01    P:25    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE67   00   A2   77    LDX    A:66    X:77    Y:01    P:25    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE69   00   A0   69    LDY    A:66    X:77    Y:69    P:25    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE6B   00   18   24    CLC    A:66    X:77    Y:69    P:24    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE6C   24   01   FF    BIT    A:66    X:77    Y:69    P:E4    SP:80       BaseAddr:0001    IndirAddr:0000    Zero_page
CE6E   00   A9   83    LDA    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE70   66   CE   CE    JSR    A:83    X:77    Y:69    P:E4    SP:7E       BaseAddr:CE66    IndirAddr:0000    Absolute
CE66   72   CE   F0    RTS    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE73   00   F0   24    BEQ    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE75   00   10   22    BPL    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE77   00   B0   20    BCS    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE79   00   50   1E    BVC    A:83    X:77    Y:69    P:E4    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE7B   00   C9   83    CMP    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE7D   00   D0   1A    BNE    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE7F   00   C0   69    CPY    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE81   00   D0   16    BNE    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE83   00   E0   77    CPX    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE85   00   D0   12    BNE    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE87   00   38   B8    SEC    A:83    X:77    Y:69    P:67    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE88   00   B8   A9    CLV    A:83    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE89   00   A9   00    LDA    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CE8B   66   CE   CE    JSR    A:00    X:77    Y:69    P:27    SP:7E       BaseAddr:CE66    IndirAddr:0000    Absolute
CE66   8D   CE   D0    RTS    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE8E   00   D0   09    BNE    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE90   00   30   07    BMI    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE92   00   90   05    BCC    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE94   00   70   03    BVS    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Relative
CE96   4C   9D   CE    JMP    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:CE9D    IndirAddr:0000    Absolute
CE9D   00   EA   A9    NOP    A:00    X:77    Y:69    P:27    SP:80       BaseAddr:0000    IndirAddr:0000    Implied
CE9E   00   A9   CE    LDA    A:CE    X:77    Y:69    P:A5    SP:80       BaseAddr:0000    IndirAddr:0000    Immediate
CEA0   00   48   A9    PHA    A:CE    X:77    Y:69    P:A5    SP:7F       BaseAddr:0000    IndirAddr:0000    Implied
CEA1   00   A9   AE    LDA    A:AE    X:77    Y:69    P:A5    SP:7F       BaseAddr:0000    IndirAddr:0000    Immediate
CEA3   00   48   A9    PHA    A:AE    X:77    Y:69    P:A5    SP:7E       BaseAddr:0000    IndirAddr:0000    Implied
CEA4   00   A9   65    LDA    A:65    X:77    Y:69    P:25    SP:7E       BaseAddr:0000    IndirAddr:0000    Immediate
CEA6   00   48   A9    PHA    A:65    X:77    Y:69    P:25    SP:7D       BaseAddr:0000    IndirAddr:0000    Implied
CEA7   00   A9   55    LDA    A:55    X:77    Y:69    P:25    SP:7D       BaseAddr:0000    IndirAddr:0000    Immediate
CEA9   00   A0   88    LDY    A:55    X:77    Y:88    P:A5    SP:7D       BaseAddr:0000    IndirAddr:0000    Immediate
CEAB   00   A2   99    LDX    A:55    X:99    Y:88    P:A5    SP:7D       BaseAddr:0000    IndirAddr:0000    Immediate
