C000   4C   F5   C5    JMP    A:00    X:00    Y:00    P:24    SP:FD       BaseAddr:C5F5    IndirAddr:0000    Absolute
C7A8   4C   AF   C7    JMP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:C7AF    IndirAddr:0000    Absolute
C7AF   00   EA   A9    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7B0   00   A9   00    LDA    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7B2   00   10   04    BPL    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C7B8   00   EA   A9    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7B9   00   A9   80    LDA    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7BB   00   10   03    BPL    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C7BD   4C   D9   C7    JMP    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:C7D9    IndirAddr:0000    Absolute
C7D9   00   EA   60    NOP    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7DA   FF   C5   20    RTS    A:80    X:00    Y:00    P:A4    SP:FD       BaseAddr:0000    IndirAddr:0000    Implied
C600   DB   C5   C7    JSR    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:C7DB    IndirAddr:0000    Absolute
C7DB   00   EA   A9    NOP    A:80    X:00    Y:00    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7DC   00   A9   FF    LDA    A:FF    X:00    Y:00    P:A4    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7DE   00   85   01    STA    A:FF    X:00    Y:00    P:A4    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C7E0   24   01   FF    BIT    A:FF    X:00    Y:00    P:E4    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C7E2   00   A9   00    LDA    A:00    X:00    Y:00    P:66    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7E4   00   38   78    SEC    A:00    X:00    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7E5   00   78   F8    SEI    A:00    X:00    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7E6   00   F8   08    SED    A:00    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7E7   00   08   68    PHP    A:00    X:00    Y:00    P:6F    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C7E8   29   00   7F    PLA    A:7F    X:00    Y:00    P:6D    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7E9   00   29   EF    AND    A:6F    X:00    Y:00    P:6D    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
